,name,discount_price,price,discount %,cpu,ram,storage,classification,brand_name
0,"Lenovo ThinkBook 16 G7 IML 21MS00C3ED - 16"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 512GB SSD - Intel Arc Graphics - 3 Years Warranty",870.0,950.0,-8.0,Intel®,6,512.0,Mid End,lenovo
1,"HP 17-CP3005DX - 17.3"" - Ryzen 5 7430U - 8GB Ram - 512GB SSD - AMD Radeon Graphics",550.0,800.0,-31.0,AMD,8,512.0,Budget,hp
2,"HP Envy X360 16-AC0033DX - 16"" Touchscreen - Core Ultra 7 155U - 32GB Ram - 2TB SSD - Intel Graphics",1270.0,1350.0,-6.0,Intel®,3,2000.0,Mid End,hp
3,"Lenovo ThinkPad X1 Carbon G12 - 21KCCTO1WW-20 - 14"" Touchscreen - Core Ultra 7 165U - 64GB Ram - 2TB SSD - Intel Graphics",2799.0,3000.0,-7.0,Intel®,64,2000.0,Hight End,lenovo
4,"Lenovo Yoga 9 2-In-1 14IMH9 - 83AC0001US - 14"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics - Includes Lenovo Slim Pen",1350.0,1650.0,-18.0,Intel®,6,1000.0,Mid End,lenovo
5,"Lenovo ThinkPad T14 Gen 5 - 14"" Touchscreen - Core Ultra 7 155U - 32GB Ram - 512GB SSD - Intel Graphics",1250.0,1500.0,-17.0,Intel®,6,512.0,Mid End,lenovo
6,"Samsung Galaxy Book4 Pro - 16"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics",1470.0,1600.0,-8.0,,6,1000.0,Mid End,samsung
7,"HP 17-CP3045 - 17.3"" Touchscreen - Ryzen 7 7730U - 16GB Ram - 1TB + 512GB SSD - AMD Radeon Graphics",750.0,850.0,-12.0,AMD,6,1000.0,Budget,hp
8,"Lenovo Thinkpad P16s G2 21HK003JUS - 16"" Touchscreen - Core I7-1360P - 16GB Ram - 512GB SSD - RTX A500 4GB",1150.0,1250.0,-8.0,Intel®,6,512.0,Mid End,lenovo
9,"Lenovo V15 G4 IRU 83A1009DED - 15.6"" - Core I5-13420H - 8GB Ram - 256GB SSD - Intel UHD Graphics",550.0,650.0,-15.0,Intel®,8,256.0,Budget,lenovo
11,"HP Envy X360 2-In-1 Laptop 16t-Ac000 - 16"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Graphics - Pen Included",1000.0,1100.0,-9.0,Intel®,6,512.0,Mid End,hp
12,"Acer Aspire 3 Spin 14 - A3SP14-31PT-38YA - 14"" Touchscreen - Core I3-N305 - 8GB Ram - 256GB SSD - Intel UHD Graphics",425.0,470.0,-10.0,Intel,8,256.0,Budget,acer
13,"Dell XPS 13 9350 Copilot+ PC - 13.4"" - Ultra 7 256V - 16GB Ram - 512GB SSD - Intel® Arc™ Graphics",1299.0,1450.0,-10.0,Intel®,6,512.0,Mid End,dell
14,"Lenovo ThinkPad X1 Carbon Gen 11 21HMS4VA00 - 14"" - Core I7-1355U - 16GB Ram - 1TB SSD - Intel Iris Xe",1299.0,1700.0,-24.0,Intel®,6,1000.0,Mid End,lenovo
15,"Samsung Galaxy Book3 NP750XFG-KB2US - 15.6"" - Core I7-1355U - 16GB Ram - 512GB SSD - Intel Iris Xe",600.0,700.0,-14.0,Intel®,6,512.0,Budget,samsung
16,"Lenovo IdeaPad Pro 5 16IMH9 83D4001HUS - 16"" Touchscreen - Core Ultra 9 185H - 32GB Ram - 1TB SSD - RTX 4050 6GB",1450.0,1500.0,-3.0,Intel®,3,1000.0,Mid End,lenovo
