name,discount_price,price,description,discount %
"Lenovo ThinkBook 16 G7 IML 21MS00C3ED - 16"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 512GB SSD - Intel Arc Graphics - 3 Years Warranty",$870.00,$950.00,"Specifications: Processor: Intel® Core™ Ultra 7 155H, 16C (6P + 8E + 2LPE) / 22T, Max Turbo up to 4.8GHz, 24MB Memory: 1x 16GB SO-DIMM DDR5-5600 Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Display: 16"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz, Touch. ...",-8%
"HP 17-CP3005DX - 17.3"" - Ryzen 5 7430U - 8GB Ram - 512GB SSD - AMD Radeon Graphics",$550.00,$800.00,"Specifications: Processor: AMD Ryzen™ 5 7430U  Memory: 8GB Ram  Storage: 512GB SSD Display: 17.3"" (1920 x 1080) FHD, IPS, LED Display, 300 nits Graphics: AMD Radeon Graphics  Ports: (2) USB 3.2 Gen 1.0 Type-A ports; 5 Gbps signaling rate (one on each side) (1) USB 3.2...",-31%
"HP Envy X360 16-AC0033DX - 16"" Touchscreen - Core Ultra 7 155U - 32GB Ram - 2TB SSD - Intel Graphics","$1,270.00","$1,350.00","Specifications: Processor: Intel® Core™ Ultra 7 Processor 155U. 12M Cache, up to 4.80 GHz. Memory: 32GB  LPDDR5-SDRAM Storage: 2TB SSD Display: 16″ (40.6 cm) WUXGA (1920×1200) Touchscreen.  Graphics: Intel Graphics Ports: HDMI, 2x USB 3.2 Gen 2 (3.1 Gen 2) Type-A, 1x USB 3.2 Gen 2 (3.1...",-6%
"Lenovo ThinkPad X1 Carbon G12 - 21KCCTO1WW-20 - 14"" Touchscreen - Core Ultra 7 165U - 64GB Ram - 2TB SSD - Intel Graphics","$2,799.00","$3,000.00","Specifications: Processor: Intel® Core™ Ultra 7 165U, 12C (2P + 8E + 2LPE) / 14T, Max Turbo up to 4.9GHz, 12MB.   Memory: 64GB Ram Storage: 2TB SSD Display: 14"" 2.8K (2880x1800) TOUCHSCREEN OLED 120Hz.   Graphics: Integrated Intel® Graphics Ports: 2 x USB-C® (Thunderbolt™ 4, USB...",-7%
"Lenovo Yoga 9 2-In-1 14IMH9 - 83AC0001US - 14"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics - Includes Lenovo Slim Pen","$1,350.00","$1,650.00","Specifications: Processor: Intel® Core™ Ultra 7 155H, 16C (6P + 8E + 2LPE) / 22T, Max Turbo up to 4.8GHz, 24MB.  Memory: 16GB Soldered LPDDR5x-7467.  Storage: 1TB SSD M.2 2242 PCIe® 4.0x4 NVMe.  Display: 14"" 2.8K WQXGA+ (2880x1800) OLED 400nits Glossy / Anti-fingerprint, 100%...",-18%
"Lenovo ThinkPad T14 Gen 5 - 14"" Touchscreen - Core Ultra 7 155U - 32GB Ram - 512GB SSD - Intel Graphics","$1,250.00","$1,500.00","Specifications: Processor: Intel® Core™ Ultra 7 155U Processor (E-Core Max 3.80 GHz, P-Core Max 4.80 GHz with Turbo Boost, 12 Cores, 14 Threads, 12 MB Cache).  Memory: 2x 16GB SO-DIMM DDR5-5600.   Storage: 512GB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal 2.0.  Display: 14""...",-17%
"Samsung Galaxy Book4 Pro - 16"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics","$1,470.00","$1,600.00","Specifications: Processor:  Intel Core Ultra 7 155H.  Memory: 16GB RAM.  Storage: 1TB SSD.  Display:  16"" 3K Dynamic AMOLED 2X, Anti-reflective Display, Touchscreen. Graphics: Intel Arc Graphics Ports: 1 x HDMI 2.1  2 x Thunderbolt™ 4.  1 x USB 3.2.  1 x MicroSD 1 x Headphone/Mic combo. ...",-8%
"HP 17-CP3045 - 17.3"" Touchscreen - Ryzen 7 7730U - 16GB Ram - 1TB + 512GB SSD - AMD Radeon Graphics",$750.00,$850.00,"Specifications: Processor: AMD Ryzen™ 7 7730U (up to 4.5 GHz maximum boost clock, 16 MB L3 cache, 8 cores, 16 threads) Memory: 16 GB DDR4-3200 MHz RAM (2 x 8 GB) Storage: 1TB + 512GB SSD Display: 43.9 cm (17.3 in) diagonal, HD+, touchscreen, BrightView, 250 nits,...",-12%
"Lenovo Thinkpad P16s G2 21HK003JUS - 16"" Touchscreen - Core I7-1360P - 16GB Ram - 512GB SSD - RTX A500 4GB","$1,150.00","$1,250.00","Specifications: Processor: Intel® Core™ i7-1360P, 12C (4P + 8E) / 16T, P-core 2.2 / 5.0GHz, E-core 1.6 / 3.7GHz, 18MB.  Memory: 16GB Soldered LPDDR5x-7500 Non-ECC.  Storage: 512GB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal 2.0.  Display: 16"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45%...",-8%
"Lenovo V15 G4 IRU 83A1009DED - 15.6"" - Core I5-13420H - 8GB Ram - 256GB SSD - Intel UHD Graphics",$550.00,$650.00,"Specifications: Processor: Intel® Core™ i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB.  Memory: 8GB Soldered DDR4-3200.  Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 15.6"" FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC.  Graphics: Integrated Intel®...",-15%
"Lenovo V15 G2 82QY00PEFE - 15.6"" - Celeron N4500 - 8GB Ram - 256GB SSD - Intel UHD Graphics",$250.00,$280.00,"Specifications: Processor: Intel® Celeron® N4500 (2C / 2T, 1.1 / 2.8GHz, 4MB).  Memory: 1x 8GB SO-DIMM DDR4-2933.  Storage: 256GB SSD M.2 2242 PCIe® 3.0x4 NVMe®.  Display: 15.6"" FHD (1920x1080) TN 250nits Anti-glare.  Graphics: Integrated Intel® UHD Graphics.  Ports: 1x USB 2.0 1x USB 3.2...",-11%
"HP Envy X360 2-In-1 Laptop 16t-Ac000 - 16"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Graphics - Pen Included","$1,000.00","$1,100.00","Specifications: Processor: Intel® Core™ Ultra 7 155U (up to 4.8 GHz, 12 MB L3 cache, 12 cores, 14 threads).  Memory: 16 GB(Onboard) DDR4.  Storage: 512 GB PCIe® NVMe™ M.2 SSD Display: 16"" diagonal, WUXGA (1920 x 1200), multitouch-enabled, IPS, 300 nits.  Graphics: Intel® Graphics  Ports:...",-9%
"Acer Aspire 3 Spin 14 - A3SP14-31PT-38YA - 14"" Touchscreen - Core I3-N305 - 8GB Ram - 256GB SSD - Intel UHD Graphics",$425.00,$470.00,"Specifications: Processor: Intel Core™ i3-N305 - 1.80GHz - Octa-core (8 Core™).  Memory: 8GB Ram LPDDR.  Storage: 256 GB PCIe NVME M.2   Display: 14"" Touchscreen (1920 x 1200), LCD, In-plane Switching (IPS) Technology ComfyView, LED Backlight technology, 60Hz, 16:10 Graphics: Intel® UHD Graphics.  Ports: HDMI:...",-10%
"Dell XPS 13 9350 Copilot+ PC - 13.4"" - Ultra 7 256V - 16GB Ram - 512GB SSD - Intel® Arc™ Graphics","$1,299.00","$1,450.00","Specifications: Processor: Intel® Core™ Ultra 7 processor 256V Series 2 (12MB Cache, 8 cores, up to 4.8 GHz).  Memory: 16GB, LPDDR5X, 8533MT/s, integrated. Storage: 512 GB, M.2, PCIe NVMe, SSD.  Display: 13.4"", Non-Touch, FHD+ 1920x1200, 30-120Hz, Anti-Glare, 500 nit, Eyesafe®, InfinityEdge.  Graphics: Intel® Arc™...",-10%
"Lenovo ThinkPad X1 Carbon Gen 11 21HMS4VA00 - 14"" - Core I7-1355U - 16GB Ram - 1TB SSD - Intel Iris Xe","$1,299.00","$1,700.00","Specifications:  Processor: Intel® Core™ i7-1355U, 10C (2P + 8E) / 12T, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, 12MB. Memory: 16GB Soldered LPDDR5-6400.  Storage: 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0  Display: 14"" WUXGA (1920x1200) IPS 400nits Anti-glare, 100% sRGB, Low...",-24%
